Mapfix ID, MapID, Map Name, GameIDs, ModeIDs, StyleIDs, Date, Unix Constraint, Fix Description
https://maps.strafes.net/mapfixes/363, 5692162926, Shard, SURF, BONUS 1, FASTE, UNSPECIFICED, UNSPECIFIED, fixed faste oob 
https://maps.strafes.net/mapfixes/363, 5692162926, Shard, SURF, BONUS 2, FASTE, UNSPECIFICED, UNSPECIFIED, fixed faste oob
